,Predicted_Label,GT_Label
0,laser,laser
1,laser,laser
2,laser,laser
3,laser,laser
4,laser,laser
5,laser,laser
6,laser,laser
7,laser,laser
8,laser,laser
9,laser,laser
10,laser,laser
11,laser,laser
12,laser,laser
13,laser,laser
14,laser,laser
15,laser,laser
16,laser,laser
17,laser,laser
18,laser,laser
19,laser,laser
20,original,laser
21,original,laser
22,laser,laser
23,original,laser
24,original,laser
25,original,original
26,original,original
27,original,original
28,original,original
29,original,original
30,original,original
31,original,original
32,original,original
33,original,original
34,original,original
35,original,original
36,original,original
37,original,original
38,original,original
39,original,original
40,original,original
41,original,original
42,original,original
43,original,original
44,original,original
45,original,original
46,original,original
47,original,original
48,original,original
49,original,original
